month,ticker,month_end_price,prev_month_price,monthly_return
1998-03-01 00:00:00+07,AAPL,0.206975,0.177913,0.16334950228482460528
1998-04-01 00:00:00+07,AAPL,0.20589,0.206975,-0.00524217900712646455
1998-05-01 00:00:00+07,AAPL,0.200391,0.20589,-0.02670843654378551654
1998-06-01 00:00:00+07,AAPL,0.215794,0.200391,0.07686472945391759111
1998-07-01 00:00:00+07,AAPL,0.26034,0.215794,0.20642835296625485417
1998-08-01 00:00:00+07,AAPL,0.23443,0.26034,-0.09952369977721441192
1998-09-01 00:00:00+07,AAPL,0.286761,0.23443,0.22322654950304995094
1998-10-01 00:00:00+07,AAPL,0.27927,0.286761,-0.02612279912540408215
1998-11-01 00:00:00+07,AAPL,0.240434,0.27927,-0.13906255594943961041
1998-12-01 00:00:00+07,AAPL,0.307988,0.240434,0.28096691815633396275
1999-01-01 00:00:00+07,AAPL,0.309645,0.307988,0.00538007974336662467
1999-02-01 00:00:00+07,AAPL,0.262093,0.309645,-0.15356941013095641783
1999-03-01 00:00:00+07,AAPL,0.270254,0.262093,0.03113780223050596544
1999-04-01 00:00:00+07,AAPL,0.346077,0.270254,0.28056198983178787363
1999-05-01 00:00:00+07,AAPL,0.331582,0.346077,-0.04188374263530948315
1999-06-01 00:00:00+07,AAPL,0.348483,0.331582,0.05097080058628031678
1999-07-01 00:00:00+07,AAPL,0.418927,0.348483,0.20214472441984257482
1999-08-01 00:00:00+07,AAPL,0.490778,0.418927,0.17151198180112525571
1999-09-01 00:00:00+07,AAPL,0.476321,0.490778,-0.02945731063739613430
1999-10-01 00:00:00+07,AAPL,0.602732,0.476321,0.26539035650328245028
1999-11-01 00:00:00+07,AAPL,0.736366,0.602732,0.22171379651320985114
1999-12-01 00:00:00+07,AAPL,0.77342,0.736366,0.05032008539231849379
2000-01-01 00:00:00+07,AAPL,0.780516,0.77342,0.00917483385482661426
2000-02-01 00:00:00+07,AAPL,0.862609,0.780516,0.10517785669992671515
2000-03-01 00:00:00+07,AAPL,1.02156,0.862609,0.18426772732489459303
2000-04-01 00:00:00+07,AAPL,0.933565,1.02156,-0.08613786757508124829
2000-05-01 00:00:00+07,AAPL,0.632,0.933565,-0.32302517767911179189
2000-06-01 00:00:00+07,AAPL,0.788104,0.632,0.24700000000000000000
2000-07-01 00:00:00+07,AAPL,0.764651,0.788104,-0.02975876280287880787
2000-08-01 00:00:00+07,AAPL,0.916909,0.764651,0.19912090613887904417
2000-09-01 00:00:00+07,AAPL,0.387655,0.916909,-0.57721540523650656717
2000-10-01 00:00:00+07,AAPL,0.29433,0.387655,-0.24074241271233442107
2000-11-01 00:00:00+07,AAPL,0.248307,0.29433,-0.15636530425033126083
2000-12-01 00:00:00+07,AAPL,0.223836,0.248307,-0.09855139001316918170
2001-01-01 00:00:00+07,AAPL,0.325284,0.223836,0.45322468235672545971
2001-02-01 00:00:00+07,AAPL,0.274452,0.325284,-0.15626959825875235179
2001-03-01 00:00:00+07,AAPL,0.332204,0.274452,0.21042659554311865098
2001-04-01 00:00:00+07,AAPL,0.383398,0.332204,0.15410410470674645700
2001-05-01 00:00:00+07,AAPL,0.300055,0.383398,-0.21737985070344654902
2001-06-01 00:00:00+07,AAPL,0.349724,0.300055,0.16553298561930312776
2001-07-01 00:00:00+07,AAPL,0.282602,0.349724,-0.19192849218240669785
2001-08-01 00:00:00+07,AAPL,0.27927,0.282602,-0.01179043318872477902
2001-09-01 00:00:00+07,AAPL,0.23324,0.27927,-0.16482257313710745873
2001-10-01 00:00:00+07,AAPL,0.264241,0.23324,0.13291459440919224833
2001-11-01 00:00:00+07,AAPL,0.320505,0.264241,0.21292683572950450536
2001-12-01 00:00:00+07,AAPL,0.329571,0.320505,0.02828661019328871624
2002-01-01 00:00:00+07,AAPL,0.371908,0.329571,0.12846093861413777304
